Area,Rainfall,Temperature,yield,Crops
1279,2903.1,27.0,2570.0,Coconut
13283,2903.1,27.0,27170.0,Coconut
52119,2903.1,27.0,114744.0,Coconut
725,2996.6,27.0,1402.0,Coconut
12885,2996.6,27.0,23456.0,Coconut
51179,2996.6,27.0,107809.0,Coconut
468,3522.8,27.2,1132.0,Coconut
11841,3522.8,27.2,23960.0,Coconut
50975,3522.8,27.2,126487.0,Coconut
206,3729.8,27.0,804.0,Coconut
10922,3729.8,27.0,30362.0,Coconut
51390,3729.8,27.0,124492.0,Coconut
177,2746.2,27.0,792.0,Coconut
10723,2746.2,27.0,34153.0,Coconut
51709,2746.2,27.0,132551.0,Coconut
146,3360.0,27.2,338.0,Coconut
10910,3360.0,27.2,22966.0,Coconut
51355,3360.0,27.2,131763.0,Coconut
160,3605.4,27.1,404.0,Coconut
10912,3605.4,27.1,24184.0,Coconut
51353,3605.4,27.1,124387.0,Coconut
142,3512.4,26.8,343.0,Coconut
10505,3512.4,26.8,23099.0,Coconut
51040,3512.4,26.8,117825.84,Coconut
154,3296.0,37.0,336.0,Coconut
10318,3296.0,37.0,22594.0,Coconut
48083,3296.0,37.0,116481.07,Coconut
143,3550.0,38.0,316.0,Coconut
9283,3550.0,38.0,21400.0,Coconut
47200,3550.0,38.0,122102.0,Coconut
158,3654.0,39.0,382.0,Coconut
8982,3654.0,39.0,19578.0,Coconut
46990,3654.0,39.0,121037.0,Coconut
103,233.0,40.0,231.0,Coconut
8239,233.0,40.0,18951.0,Coconut
44563,233.0,40.0,110579.0,Coconut
96,234.0,41.0,221.0,Coconut
6949,234.0,41.0,15362.0,Coconut
44663,234.0,41.0,120373.0,Coconut
110,3105.0,42.0,291.0,Coconut
6824,3105.0,42.0,17231.0,Coconut
43013,3105.0,42.0,119359.0,Coconut
95,236.0,43.0,283.0,Coconut
6441,236.0,43.0,17690.0,Coconut
4012,2903.1,27.0,7157.0,Coconut
4877,2903.1,27.0,8700.0,Coconut
4930,2903.1,27.0,41266.0,Coconut
4954,2996.6,27.0,8838.0,Coconut
5019,2996.6,27.0,8954.0,Coconut
5127,2996.6,27.0,42915.0,Coconut
5174,3522.8,27.2,9230.0,Coconut
5294,3522.8,27.2,44313.0,Coconut
5474,3522.8,27.2,45820.0,Coconut
5864,3729.8,27.0,49084.0,Coconut
7028,3729.8,27.0,86311.0,Coconut
7403,3729.8,27.0,57642.0,Coconut
7501,2746.2,27.0,58405.0,Coconut
7714,2746.2,27.0,60751.0,Coconut
7856,2746.2,27.0,109506.0,Coconut
32,3360.0,27.2,114.0,Coconut
1,3360.0,27.2,3.0,Coconut
30,3360.0,27.2,95.0,Coconut
6,3605.4,27.1,19.0,Coconut
15,3605.4,27.1,54.0,Coconut
4,3605.4,27.1,13.0,Coconut
39,3512.4,26.8,123.0,Coconut
6,3512.4,26.8,19.0,Coconut
12,3512.4,26.8,32.0,Coconut
3,3296.0,37.0,8.0,Coconut
17,3296.0,37.0,50.0,Coconut
3,3296.0,37.0,10.0,Coconut
9,3550.0,38.0,29.0,Coconut
21,3550.0,38.0,44.0,Coconut
11,3550.0,38.0,33.0,Coconut
4,3654.0,39.0,14.0,Coconut
15,3654.0,39.0,56.0,Coconut
8,3654.0,39.0,26.0,Coconut
29,233.0,40.0,98.0,Coconut
1,233.0,40.0,3.0,Coconut
13736,233.0,40.0,58637.0,Coconut
14003,234.0,41.0,59777.0,Coconut
14179,234.0,41.0,60528.0,Coconut
14319,234.0,41.0,61126.0,Coconut
14464,3105.0,42.0,623687.0,Coconut
14876,3105.0,42.0,63504.0,Coconut
14976,3105.0,42.0,63931.0,Coconut
15009,236.0,43.0,73730.0,Coconut
15114,2903.1,27.0,118416.0,Coconut
16224,2903.1,27.0,130132.0,Coconut
17095,2903.1,27.0,154889.0,Coconut
17512,2996.6,27.0,171739.0,Coconut
17587,2996.6,27.0,172475.0,Coconut
17771,2996.6,27.0,177939.0,Coconut
17825,3522.8,27.2,313547.0,Coconut
3147,3522.8,27.2,2783.0,Coconut
2578,3522.8,27.2,1533.0,Coconut
1591,3729.8,27.0,1647.0,Coconut
1298,3729.8,27.0,975.0,Coconut
4,3729.8,27.0,2.0,Coconut
1122,2746.2,27.0,836.0,Coconut
917,2746.2,27.0,806.0,Coconut
819,2746.2,27.0,880.0,Coconut
619,3360.0,27.2,770.0,Coconut
391,3360.0,27.2,395.0,Coconut
211,3360.0,27.2,187.0,Coconut
153,3605.4,27.1,187.0,Coconut
111,3605.4,27.1,121.0,Coconut
76,3605.4,27.1,103.0,Coconut
53,3512.4,26.8,71.0,Coconut
2688,3512.4,26.8,3961.0,Coconut
2311,3512.4,26.8,4247.0,Coconut
2188,3296.0,37.0,3290.0,Coconut
1998,3296.0,37.0,3138.0,Coconut
2006,3296.0,37.0,3423.0,Coconut
2034,3550.0,38.0,3899.0,Coconut
2035,3550.0,38.0,4015.0,Coconut
2074,3550.0,38.0,4279.0,Coconut
2127,3654.0,39.0,4167.0,Coconut
2090,3654.0,39.0,4479.0,Coconut
2059,3654.0,39.0,3699.0,Coconut
2050,233.0,40.0,4904.0,Coconut
1865,233.0,40.0,2821.0,Coconut
1841,233.0,40.0,3472.0,Coconut
1799,234.0,41.0,3647.0,Coconut
1468,234.0,41.0,393.0,Coconut
568,234.0,41.0,167.0,Coconut
407,3105.0,42.0,71.0,Coconut
177,3105.0,42.0,52.0,Coconut
51,3105.0,42.0,12.0,Coconut
173,236.0,43.0,51.0,Coconut
201,236.0,43.0,61.0,Coconut
206,321.0,128.0,67.0,Cocoa
243,3654.0,129.0,62.0,Cocoa
123,323.0,130.0,32.0,Cocoa
82,324.0,131.0,22.0,Cocoa
74,3105.0,132.0,25.0,Cocoa
18,326.0,133.0,4.0,Cocoa
37,327.0,134.0,9.0,Coffee
35,328.0,135.0,12.0,Coffee
5974,2903.1,136.0,2089.0,Coffee
6631,2903.1,137.0,2810.0,Coffee
6705,2903.1,138.0,841.0,Coffee
5876,2996.6,139.0,3550.0,Coffee
326,2996.6,140.0,109.0,Coffee
6470,2996.6,141.0,3368.0,Coffee
6709,3522.8,142.0,3671.0,Coffee
6186,3522.8,143.0,2404.0,Coffee
6503,3522.8,144.0,2805.0,Coffee
5220,3729.8,145.0,2331.0,Coffee
4677,3729.8,146.0,2088.0,Coffee
4803,3729.8,147.0,2628.0,Coffee
3739,2746.2,148.0,1939.0,Coffee
3529,2746.2,149.0,1871.0,Cardamum
3649,2746.2,150.0,1868.0,Cardamum
1374,3360.0,151.0,127919.0,Cardamum
933,3360.0,152.0,75340.0,Cardamum
345,3360.0,153.0,29170.0,Cardamum
29,3605.4,154.0,1901.0,Cardamum
11,3605.4,155.0,972.0,Cardamum
10,3605.4,156.0,874.0,Cardamum
7,3512.4,157.0,592.0,Cardamum
10,3512.4,158.0,864.0,Cardamum
56,3512.4,159.0,5373.0,Cardamum
68,3296.0,160.0,6589.0,Cardamum
56,3296.0,161.0,5107.0,Cardamum
66,3296.0,162.0,5518.0,Cardamum
55,3550.0,163.0,4912.0,Cardamum
42,3550.0,164.0,3830.0,Pepper
51179,3550.0,165.0,4.0,Pepper
468,3654.0,166.0,9.0,Pepper
11841,3654.0,167.0,12.0,Pepper
50975,3654.0,168.0,2089.0,Pepper
206,233.0,169.0,2810.0,Pepper
10922,233.0,170.0,841.0,Pepper
51390,233.0,171.0,3550.0,Pepper
177,234.0,172.0,109.0,Pepper
10723,234.0,173.0,3368.0,Pepper
51709,234.0,174.0,3671.0,Pepper
146,3105.0,175.0,2404.0,Pepper
10910,3105.0,176.0,2805.0,Pepper
51355,3105.0,177.0,2331.0,Pepper
160,236.0,178.0,2088.0,Pepper
10912,236.0,179.0,2628.0,Arecanut
51353,2903.1,180.0,1939.0,Arecanut
142,2903.1,181.0,1871.0,Arecanut
10505,2903.1,182.0,1868.0,Arecanut
51040,2996.6,183.0,127919.0,Arecanut
154,2996.6,184.0,75340.0,Arecanut
10318,2996.6,185.0,29170.0,Arecanut
48083,3522.8,186.0,1901.0,Arecanut
143,3522.8,187.0,972.0,Arecanut
9283,3522.8,188.0,874.0,Arecanut
47200,2903.1,189.0,592.0,Arecanut
158,2903.1,190.0,864.0,Arecanut
8982,2903.1,191.0,5373.0,Arecanut
46990,2996.6,192.0,6589.0,Arecanut
103,2996.6,193.0,5107.0,Arecanut
8239,2996.6,194.0,5518.0,Ginger
44563,3522.8,195.0,4912.0,Ginger
96,3522.8,196.0,3830.0,Ginger
6949,3522.8,197.0,4.0,Ginger
44663,3729.8,198.0,9.0,Ginger
110,3729.8,199.0,12.0,Ginger
6824,3729.8,200.0,2089.0,Ginger
43013,2746.2,201.0,2810.0,Ginger
95,2746.2,202.0,841.0,Ginger
6441,2746.2,203.0,3550.0,Ginger
4012,3360.0,204.0,109.0,Ginger
4877,3360.0,205.0,3368.0,Ginger
4930,3360.0,206.0,3671.0,Ginger
